子系统,文件,文件职责,当前状态,剩余功能/缺口,依赖或阻塞,优先级,备注
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/KpiCard.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/LiquidGlassCard.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/LiquidGlassSurface.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/PrimaryButton.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/QuantityStepper.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/SearchFilterBar.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/SecondaryOutlineButton.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/SegmentedTabs.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/StatusPill.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/ZhihuijiColors.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/ZhihuijiShapes.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/ZhihuijiTheme.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/designsystem/src/main/java/com/zhihuiji/core/designsystem/ZhihuijiTypography.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/.DS_Store,功能文件,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/DEVELOPMENT.md,模块开发说明,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/build.gradle.kts,构建配置,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/AndroidManifest.xml,功能文件,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/AdminModels.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/ApiResponse.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/AuthModels.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/FinanceModels.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/OrderModels.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/PartyModels.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/ProductModels.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/ReportModels.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/StatusConstants.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/SyncModels.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/v2/agent/AgentAuditModels.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/v2/agent/AgentChatModels.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/v2/agent/AgentChatRequestResponse.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/v2/agent/AgentResultBlockModels.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/v2/agent/AgentStreamModels.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/v2/agent/AgentV2Models.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/v2/finance/FinanceV2Models.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/v2/inventory/InventoryV2Models.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/v2/media/MediaV2Models.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/v2/order/OrderV2Models.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/v2/partner/PartnerV2Models.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/v2/product/ProductV2Models.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/main/java/com/zhihuiji/core/model/v2/sync/SyncV2Models.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/model/src/test/java/com/zhihuiji/core/model/SerializationContractTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/core/model/src/test/java/com/zhihuiji/core/model/v2/V2ModelSerializationTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/core/model/src/test/java/com/zhihuiji/core/model/v2/agent/AgentChatResponseSerializationTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/core/model/src/test/java/com/zhihuiji/core/model/v2/agent/AgentStreamEventSerializationTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/core/network/DEVELOPMENT.md,模块开发说明,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/network/build.gradle.kts,构建配置,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/network/src/main/AndroidManifest.xml,功能文件,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/network/src/main/java/com/zhihuiji/core/network/AgentSseClient.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/network/src/main/java/com/zhihuiji/core/network/AuthInterceptor.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/network/src/main/java/com/zhihuiji/core/network/BaseUrlInterceptor.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/network/src/main/java/com/zhihuiji/core/network/CacheScopeProvider.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/network/src/main/java/com/zhihuiji/core/network/MemoryCache.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/network/src/main/java/com/zhihuiji/core/network/NetworkConfig.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/network/src/main/java/com/zhihuiji/core/network/NetworkModule.kt,Android 依赖注入模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/network/src/main/java/com/zhihuiji/core/network/SafeApiCall.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/network/src/main/java/com/zhihuiji/core/network/TokenAuthenticator.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/network/src/main/java/com/zhihuiji/core/network/ZhihuijiApi.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/network/src/main/java/com/zhihuiji/core/network/ZhihuijiV2Api.kt,Android Kotlin 模块,已完成待联调,基础层已较完整，仍待 owner-aware Room 扩域、性能与真机验收配套收口,本地缓存扩域/性能/真机验收,P2,Android core 层
android,master-goods-android/core/network/src/test/java/com/zhihuiji/core/network/AgentSseClientCancellationTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/core/network/src/test/java/com/zhihuiji/core/network/NetworkConfigTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/core/network/src/test/java/com/zhihuiji/core/network/SafeApiCallBehaviorTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/core/network/src/test/java/com/zhihuiji/core/network/ZhihuijiApiContractTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/core/network/src/test/java/com/zhihuiji/core/network/ZhihuijiV2ApiContractTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/data/.DS_Store,功能文件,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/agent/DEVELOPMENT.md,模块开发说明,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/agent/build.gradle.kts,构建配置,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/agent/src/main/AndroidManifest.xml,功能文件,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/agent/src/main/java/com/zhihuiji/data/agent/AgentAuditRepository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/agent/src/main/java/com/zhihuiji/data/agent/AgentV2Repository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/agent/src/main/java/com/zhihuiji/data/agent/MediaV2Repository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/agent/src/test/java/com/zhihuiji/data/agent/AgentV2RepositoryTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/data/auth/DEVELOPMENT.md,模块开发说明,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/auth/build.gradle.kts,构建配置,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/auth/src/main/AndroidManifest.xml,功能文件,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/auth/src/main/java/com/zhihuiji/data/auth/AuthRepository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/auth/src/main/java/com/zhihuiji/data/auth/LocalDataCleaner.kt,Android Kotlin 模块,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/customer/DEVELOPMENT.md,模块开发说明,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/customer/build.gradle.kts,构建配置,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/customer/src/main/AndroidManifest.xml,功能文件,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/customer/src/main/java/com/zhihuiji/data/customer/CustomerRepository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/customer/src/main/java/com/zhihuiji/data/customer/CustomerV2Repository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/customer/src/test/java/com/zhihuiji/data/customer/CustomerV2RepositoryTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/data/finance/DEVELOPMENT.md,模块开发说明,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/finance/build.gradle.kts,构建配置,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/finance/src/main/AndroidManifest.xml,功能文件,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/finance/src/main/java/com/zhihuiji/data/finance/FinanceRepository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/finance/src/main/java/com/zhihuiji/data/finance/FinanceV2Repository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/finance/src/test/java/com/zhihuiji/data/finance/FinanceV2RepositoryTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/data/order/DEVELOPMENT.md,模块开发说明,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/order/build.gradle.kts,构建配置,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/order/src/main/AndroidManifest.xml,功能文件,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/order/src/main/java/com/zhihuiji/data/order/PayOrderRepository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/order/src/main/java/com/zhihuiji/data/order/PayOrderV2Repository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/order/src/main/java/com/zhihuiji/data/order/PurchaseOrderRepository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/order/src/main/java/com/zhihuiji/data/order/PurchaseOrderV2Repository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/order/src/main/java/com/zhihuiji/data/order/PurchaseReceiptV2Repository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/order/src/main/java/com/zhihuiji/data/order/SaleOrderRepository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/order/src/main/java/com/zhihuiji/data/order/SaleOrderV2Repository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/order/src/main/java/com/zhihuiji/data/order/SalesReturnV2Repository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/order/src/test/java/com/zhihuiji/data/order/OrderV2RepositoryTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/data/product/DEVELOPMENT.md,模块开发说明,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/product/build.gradle.kts,构建配置,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/product/src/main/AndroidManifest.xml,功能文件,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/product/src/main/java/com/zhihuiji/data/product/ProductRepository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/product/src/main/java/com/zhihuiji/data/product/ProductV2Repository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/product/src/test/java/com/zhihuiji/data/product/ProductV2RepositoryTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/data/report/DEVELOPMENT.md,模块开发说明,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/report/build.gradle.kts,构建配置,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/report/src/main/AndroidManifest.xml,功能文件,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/report/src/main/java/com/zhihuiji/data/report/ReportRepository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/supplier/DEVELOPMENT.md,模块开发说明,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/supplier/build.gradle.kts,构建配置,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/supplier/src/main/AndroidManifest.xml,功能文件,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/supplier/src/main/java/com/zhihuiji/data/supplier/SupplierRepository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/supplier/src/main/java/com/zhihuiji/data/supplier/SupplierV2Repository.kt,Android 数据仓储,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/supplier/src/test/java/com/zhihuiji/data/supplier/SupplierV2RepositoryTest.kt,Android 测试,文档/脚本支撑,测试文件本身无新增业务功能，剩余价值在于跟随真实能力补回归用例,随对应业务能力变化补测试,P3,测试支撑
android,master-goods-android/data/sync/DEVELOPMENT.md,模块开发说明,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
android,master-goods-android/data/sync/build.gradle.kts,构建配置,已完成待联调,Repository/V2 接线已完成首轮，仍待真机联调与更完整本地缓存扩域,owner-aware Room 扩域与真机联调,P2,Android data 层
