序号,文件路径,相对路径,类或对象,函数名,函数类型,起始行,结束行,行数,职责摘要,副作用,调用方,发现问题编号,重复实现编号,审阅方式,状态,备注
701,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,AdminAgentObservabilityService,PayloadFilterPatterns,method,151,164,14,"调用: PayloadFilterPatterns, forToolName, toLowerCase, forModelId",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
702,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,AdminAgentObservabilityService,forToolName,method,152,156,5,"调用: forToolName, PayloadFilterPatterns, toLowerCase",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
703,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,AdminAgentObservabilityService,forModelId,method,158,163,6,"调用: forModelId, PayloadFilterPatterns, toLowerCase",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
704,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,AdminAgentObservabilityService,normalizeRequiredRunId,method,166,172,7,"调用: normalizeRequiredRunId, normalizeRunId, IllegalArgumentException",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
705,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,AdminAgentObservabilityService,normalizeStatus,method,174,187,14,"调用: normalizeStatus, trim, isEmpty, equalsIgnoreCase, toUpperCase, auditStatus",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
706,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,AdminAgentObservabilityService,hasRunFilters,method,189,191,3,调用: hasRunFilters,无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
707,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,AdminAgentObservabilityService,normalizeFilter,method,193,208,16,"调用: normalizeFilter, trim, isEmpty, length, indexOf, chars",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
708,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,AdminAgentObservabilityService,toSummary,method,210,237,28,"调用: toSummary, instant, getStartedAt, getCompletedAt, max, between",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
709,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,AdminAgentObservabilityService,scopeCompleteness,method,239,241,3,"调用: scopeCompleteness, allOwners",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
710,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,AdminAgentObservabilityService,terminalStatus,method,243,255,13,"调用: terminalStatus, isBlank, equalsIgnoreCase, fromAuditStatus, name, trim",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
711,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,AdminAgentObservabilityService,id,method,257,259,3,纯本地逻辑,无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
712,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentObservabilityService.java,AdminAgentObservabilityService,instant,method,261,263,3,"调用: instant, ofEpochMilli",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
713,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentRuntimeConfigService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentRuntimeConfigService.java,AdminAgentRuntimeConfigService,AdminAgentRuntimeConfigService,method,20,23,4,调用: AdminAgentRuntimeConfigService,无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
714,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentRuntimeConfigService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentRuntimeConfigService.java,AdminAgentRuntimeConfigService,resolve,method,30,39,10,"调用: resolve, empty, findByScopeOwnerUserIdAndScopeStoreId, orElseGet, orElse, toRuntimeConfig",DB读,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
715,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentRuntimeConfigService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentRuntimeConfigService.java,AdminAgentRuntimeConfigService,isToolEnabled,method,42,46,5,"调用: isToolEnabled, resolve, map, agentEnabled, enabledTools, contains",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
716,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentRuntimeConfigService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentRuntimeConfigService.java,AdminAgentRuntimeConfigService,toRuntimeConfig,method,48,50,3,"调用: toRuntimeConfig, RuntimeConfig, getAgentEnabled, parseTools, getEnabledToolsJson",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
717,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentRuntimeConfigService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentRuntimeConfigService.java,AdminAgentRuntimeConfigService,parseTools,method,52,68,17,"调用: parseTools, readValue, isBlank, add, trim, copyOf",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
718,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentRuntimeConfigService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAgentRuntimeConfigService.java,AdminAgentRuntimeConfigService,RuntimeConfig,method,70,74,5,"调用: RuntimeConfig, copyOf",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
719,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,AdminAuditService,AdminAuditService,method,43,46,4,调用: AdminAuditService,无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
720,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,AdminAuditService,payloadHash,method,145,153,9,"调用: payloadHash, getInstance, digest, getBytes, formatHex, IllegalStateException",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
721,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,AdminAuditService,findIdempotent,method,155,163,9,"调用: findIdempotent, isBlank, findByAdminUserIdAndIdempotencyKey, userId, trim, orElse",DB读,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
722,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,AdminAuditService,toDto,method,254,260,7,"调用: toDto, Event, getEventId, getAction, getAdminUserId, getResourceType",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
723,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,AdminAuditService,requestMetadata,method,262,273,12,"调用: requestMetadata, getRequestAttributes, RequestMetadata, getRequest, getHeader, normalizeOptional",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
724,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,AdminAuditService,securityRequestMetadata,method,275,282,8,"调用: securityRequestMetadata, RequestMetadata, bounded, getRemoteAddr, getHeader",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
725,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,AdminAuditService,normalizedRole,method,284,287,4,"调用: normalizedRole, bounded",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
726,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,AdminAuditService,bounded,method,289,294,6,"调用: bounded, trim, isEmpty, length, substring",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
727,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,AdminAuditService,normalizeRequired,method,296,300,5,"调用: normalizeRequired, normalizeOptional, IllegalArgumentException",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
728,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,AdminAuditService,normalizeOptional,method,302,308,7,"调用: normalizeOptional, trim, isEmpty, length, IllegalArgumentException",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
729,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,AdminAuditService,normalizeQueryFilter,method,310,313,4,"调用: normalizeQueryFilter, normalizeOptional, toLowerCase",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
730,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,AdminAuditService,id,method,315,315,1,纯本地逻辑,无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
731,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,AdminAuditService,instant,method,316,316,1,"调用: instant, ofEpochMilli",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
732,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminAuditService.java,AdminAuditService,RequestMetadata,method,318,318,1,调用: RequestMetadata,无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
733,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,list,method,60,68,9,"调用: list, authorize, from, findVisible, userId, allOwners",DB读,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
734,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,create,method,71,115,45,"调用: create, IllegalArgumentException, authorize, ownerUserId, storeId, validate",DB读,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
735,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,processClaimed,method,119,148,30,"调用: processClaimed, findByExportId, orElse, equalsIgnoreCase, getStatus, currentTimeMillis",DB写、DB读,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
736,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,get,method,151,155,5,"调用: get, visibleJob, markExpired, toDto",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
737,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,download,method,158,179,22,"调用: download, visibleJob, currentTimeMillis, getExpiresAt, markExpired, record",DB写,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
738,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,cleanupExpired,method,187,189,3,"调用: cleanupExpired, expireAndClearExpired, currentTimeMillis",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
739,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,visibleJob,method,191,201,11,"调用: visibleJob, isBlank, length, IllegalArgumentException, authorize, findByExportId",DB读,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
740,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,toDto,method,203,210,8,"调用: toDto, equalsIgnoreCase, getStatus, getExpiresAt, currentTimeMillis, Job",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
741,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,markExpired,method,212,219,8,"调用: markExpired, getExpiresAt, currentTimeMillis, equalsIgnoreCase, getStatus, setStatus",DB写,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
742,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,normalizeFields,method,221,229,9,"调用: normalizeFields, isEmpty, IllegalArgumentException, contains, trim, add",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
743,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,csv,method,231,241,11,"调用: csv, StringBuilder, join, append, size, escape",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
744,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,csvValue,method,243,256,14,"调用: csvValue, getEventId, getAction, getResourceType, getResourceId, getResult",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
745,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,escape,method,258,262,5,"调用: escape, replace, contains",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
746,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,validate,method,264,270,7,"调用: validate, exportType, isBlank, length, reason, trim",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
747,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,writeFields,method,272,272,1,"调用: writeFields, writeValueAsString, IllegalStateException",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
748,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,writeIds,method,273,273,1,"调用: writeIds, writeValueAsString, IllegalStateException",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
749,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,parseFields,method,274,274,1,"调用: parseFields, readValue",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
750,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,snapshot,method,275,289,15,"调用: snapshot, getScopeAllOwners, getScopeAllStores, getScopeOwnerUserIdsJson, getScopeStoreIdsJson, IllegalStateException",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
751,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,parseIds,method,291,298,8,"调用: parseIds, readValue, stream, filter, toList, IllegalStateException",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
752,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,safeError,method,300,304,5,"调用: safeError, getMessage, isBlank, length, substring",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
753,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportService.java,AdminExportService,instant,method,305,305,1,"调用: instant, ofEpochMilli",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
754,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportWorker.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportWorker.java,AdminExportWorker,AdminExportWorker,method,16,19,4,调用: AdminExportWorker,无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
755,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportWorker.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminExportWorker.java,AdminExportWorker,processPending,method,26,35,10,"调用: processPending, findTop20ByStatusOrderByCreatedAtAsc, getExportId, claimPending, processClaimed",DB读,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
756,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,AdminOrganizationService,getUser,method,144,148,5,"调用: getUser, authorize, visibleUser, toUserSummary",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
757,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,AdminOrganizationService,getStore,method,181,187,7,"调用: getStore, authorize, visibleStore, StoreSummary, getId, getOwnerUserId",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
758,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,AdminOrganizationService,normalizeKeyword,method,265,274,10,"调用: normalizeKeyword, trim, length, IllegalArgumentException",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
759,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,AdminOrganizationService,toUserSummary,method,276,286,11,"调用: toUserSummary, UserSummary, getId, maskPhone, getPhone, getNickname",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
760,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,AdminOrganizationService,toStoreSummary,method,288,299,12,"调用: toStoreSummary, StoreSummary, getStoreId, getOwnerUserId, getName, status",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
761,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,AdminOrganizationService,maskPhone,method,318,327,10,"调用: maskPhone, isBlank, trim, length, repeat, substring",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
762,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,AdminOrganizationService,status,method,329,334,6,调用: status,无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
763,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,AdminOrganizationService,id,method,336,338,3,纯本地逻辑,无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
764,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,AdminOrganizationService,visibleUser,method,340,347,8,"调用: visibleUser, IllegalArgumentException, findById, orElseThrow, AccessDeniedException, allOwners",DB读,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
765,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,AdminOrganizationService,visibleStore,method,349,354,6,"调用: visibleStore, IllegalArgumentException, findById, orElseThrow, AccessDeniedException, allOwners",DB读,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
766,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,AdminOrganizationService,memberCount,method,356,358,3,"调用: memberCount, toIntExact, countByOwnerUserIdAndStoreId",DB读,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
767,/Users/sunyiyang/Desktop/Project/master-goods/Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,Code/backend/src/main/java/com/zhihuiji/backend/application/service/admin/AdminOrganizationService.java,AdminOrganizationService,member,method,360,366,7,"调用: member, IllegalArgumentException, MemberSummary, getId, getStoreId, getNickname",无,见调用关系台账,,,全量登记+模式筛查；命中风险规则者转入深度审阅,完成,
